Дата,Регион,Население,Активных объявлений о продаже,"Активных объявлений, вторичка","Активных объявлений, новостройки","Средняя стоимость м², вторичка","Средняя стоимость м², новостройки","Средний срок экспозиции, вторичка"
2019-01-01,Краснодарский Край,2617631,136109.0,87126.0,9661.0,65061.02957283681,54274.016267958825,52.293166042224634
2019-01-01,Московская Область,4689685,98887.0,38280.0,29047.0,82366.4019383497,100564.50381679389,58.31619547917064
2019-01-01,Москва,11764783,64340.0,30683.0,30861.0,167774.09860191317,200763.49442379182,45.99226723429861
2019-01-01,Ростовская Область,2826435,63447.0,39422.0,13820.0,59459.45945945946,46984.6705678646,46.64477272803037
2019-01-01,Санкт-Петербург,5418837,57684.0,29191.0,26825.0,105714.28571428571,133483.90810227854,58.10250624727045
2019-01-01,Тюменская Область,813174,52262.0,39447.0,5001.0,63235.294117647056,69199.00395769955,45.63426041340354
2019-01-01,Ленинградская Область,974279,31201.0,8282.0,11767.0,67723.86023638799,83994.47513812155,54.92776950162255
2019-01-01,Свердловская Область,3507094,27312.0,15383.0,7718.0,44973.802651790764,73583.33333333333,66.53751128508054
2019-01-01,Республика Башкортостан,2419424,24522.0,14489.0,7355.0,55434.78260869565,67808.33529351873,61.204668135267625
2019-01-01,Челябинская Область,2760591,22550.0,18054.0,2734.0,34242.42424242424,45438.384756824475,48.597742279689356
2019-01-01,Калужская Область,709882,21879.0,18801.0,1481.0,55725.22287291581,60800.0,52.0293105956404
2019-01-01,Волгоградская Область,1822181,21839.0,16213.0,1438.0,43832.82627752282,,57.82904313839354
2019-01-01,Ханты-Мансийский Автономный округ - Югра,1226530,21327.0,18582.0,1704.0,73152.41508789896,,45.2042540216274
2019-01-01,Красноярский Край,1947329,20925.0,12899.0,6762.0,50973.16704459561,66000.0,57.89011883702846
2019-01-01,Самарская Область,2458198,19645.0,11763.0,5373.0,47727.27272727273,53461.572052401745,65.31786884959206
